7f000001:2328	95805:693	12419	15778
7f000001:2328	95805:694	234598	46561
7f000001:2328	95805:695	41442	41447
7f000001:2328	95805:696	12416	23589
7f000001:2328	95805:697	93466	46046
7f000001:2328	95805:698	99927	2424
7f000001:2328	95805:699	78689	20500
7f000001:2328	95805:700	104444	41517
7f000001:2328	95805:701	45819	38443
7f000001:2328	95805:702	20062	1988
7f000001:2328	95805:703	23727	8385
7f000001:2328	95805:704	8727	43474
7f000001:2328	95805:705	10996	5888
7f000001:2328	95805:706	18306	24168
7f000001:2328	95805:707	10377	1586
7f000001:2328	95805:708	114022	22744
7f000001:2328	95805:709	163651	3495
7f000001:2328	95805:710	25947	13170
7f000001:2328	95805:711	19151	1397
7f000001:2328	95805:712	19799	26504
7f000001:2328	95805:713	43734	18967
7f000001:2328	95805:714	32181	54072
7f000001:2328	95805:715	40865	23754
7f000001:2328	95805:716	11567	9753
7f000001:2328	95805:717	41416	1210
