7f000001:881f	5597:147	636366854	636556881	1	33747
7f000001:881f	5597:148	636609968	636767985	1	190
7f000001:881f	5597:149	636822615	636980109	1	767
7f000001:881f	5597:150	637033876	637192146	1	122
7f000001:881f	5597:151	637245832	637424178	1	9843
7f000001:881f	5597:152	637428593	637589117	1	3679
7f000001:881f	5597:153	637642768	637817983	1	17066
7f000001:881f	5597:154	637871599	638031499	1	402
7f000001:881f	5597:155	638212729	638504688	1	53362
7f000001:881f	5597:156	638509544	638798822	1	55557
7f000001:881f	5597:157	638795429	638990117	1	14430
7f000001:881f	5597:158	638994704	639185211	1	696
7f000001:881f	5597:159	639189470	639349999	1	23710
7f000001:881f	5597:160	639347020	639524604	1	20502
7f000001:881f	5597:161	639578257	639766633	1	10512
7f000001:881f	5597:162	639957682	640121400	1	26921
7f000001:881f	5597:163	640126006	640317066	1	34582
7f000001:881f	5597:164	640502083	640657424	1	10078
7f000001:881f	5597:165	640871239	641033883	1	6439
7f000001:881f	5597:166	641087644	641256461	1	11456
7f000001:881f	5597:167	641310798	641468882	1	176
7f000001:881f	5597:168	641523673	641711419	1	29054
7f000001:881f	5597:169	641715804	642062478	1	8070
7f000001:881f	5597:170	642066984	642213357	1	16931
7f000001:881f	5597:171	642328432	642471241	1	5396
7f000001:881f	5597:172	642592231	643216925	1	12024
7f000001:881f	5597:173	643345275	643448185	1	33298
7f000001:881f	5597:174	643583669	643700247	1	5554
7f000001:881f	5597:175	643885073	644021632	1	16942
7f000001:881f	5597:176	644262794	644407166	1	4536
7f000001:881f	5597:177	644535156	644675487	1	60582
7f000001:881f	5597:178	644850174	644987989	1	4562
7f000001:881f	5597:179	645099310	645239007	1	23546
7f000001:881f	5597:180	645368737	645508865	1	20124
7f000001:881f	5597:181	645636216	645774202	1	35
7f000001:881f	5597:182	645828514	645944961	1	19948
7f000001:881f	5597:183	646082881	646199245	1	22451
7f000001:881f	5597:184	646335300	646478202	1	17995
7f000001:881f	5597:185	646599583	646792899	1	4048
7f000001:881f	5597:186	646797329	646964860	1	6274
7f000001:881f	5597:187	647128370	647391638	1	22381
7f000001:881f	5597:188	647396710	647512046	1	3731
7f000001:881f	5597:189	647659119	647800949	1	4644
7f000001:881f	5597:190	647854980	648212373	1	90987
7f000001:881f	5597:191	648208892	648418007	1	7032
7f000001:881f	5597:192	648422463	648638665	1	28437
7f000001:881f	5597:193	648643241	648799519	1	2901
